date_local,pm2.5_total,aluminum_pm2_5_lc_88104,arsenic_pm2_5_lc_88103,barium_pm2_5_lc_88107,bromine_pm2_5_lc_88109,cadmium_pm2_5_lc_88110,calcium_pm2_5_lc_88111,chromium_pm2_5_lc_88112,copper_pm2_5_lc_88114,iron_pm2_5_lc_88126,lead_pm2_5_lc_88128,magnesium_pm2_5_lc_88140,manganese_pm2_5_lc_88132,nickel_pm2_5_lc_88136,selenium_pm2_5_lc_88154,silicon_pm2_5_lc_88165,sulfate_pm2_5_lc_88403,sulfur_pm2_5_lc_88169,titanium_pm2_5_lc_88161,total_nitrate_pm2_5_lc_88306,vanadium_pm2_5_lc_88164,zinc_pm2_5_lc_88167
2000-06-12,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-06-13,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-06-14,8.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-06-15,18.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-06-16,22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-06-17,19.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-06-18,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-06-19,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-06-20,11.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-06-21,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-06-22,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
